Lightbox,Routename,Grade,Height,Graffit,Pro
44,Waterfall,22,15m,,5
,Frontier Psychiatrist,16,16m,,5
,Junket,21,17m,,5
,Pink Berets,21,15m,,4
45,Bouncy Castle,23,18m,,4
,Pommy Bastard,20,18m,PB,5
,The Rasp,21,18m,R,4*
,Dare to Dream,22,18m,,4
46,Kass,21,18m,,6
,Bombadil,17,18m,B,5
,Tombstone Row,16,18m,TR,5
,Idiot Wind,21,18m,IW,5
,The Stoats Stepped Out,21,18m,TSSO,5*
47,Another Girl Another Planet,21,18m,AGAP,3
,42 Wheels,24,18m,42W,3
,Nic Chips Diffs,24,18m,,6*
48,Dysentery,17,18m,D,6
,Wedding Crashers,21,18m,,5
49,Hanger Wall Arete,22,18m,,6
,Gangbang Wall,23,18m,GBW,3
,Brisbane Bitter,24,18m,XXXX,5
,XXXX,25,18m,FX,4
,Chippers,22,18m,CH,6
50,Anonymous,16,18m,,6
,Stoat Clips Bolts,18,18m,SCB,6
,Punks in the Gin,24,17m,PITG,5
,Euthanasia,21,17m,E,3*
51,Pterodactyl,18,17m,PT,5
,Honed and Buffed,24,17m,Hbu,4
,Wages of Fear,24,18m,WF,5
,Cucumber Castle,23,18m,CC,4
52,Be A Robot For Jesus,25,18m,BARFJ,5
,Bufo Marinus,25,5m,,1
53,Squawk,22,18m,SQ,3
,Gobble,22,18m,G,5
,The Bolting Gestapo,19,18m,,5
54,Pig City,24,17m,\$,3
,Pocket Calculator,22,15m,,3
55,Bird Dance for Shiva,23,13m,BDS,1*
,Steaming Wally,26,13m,,3
,Nic Pic Dics,23,13m,G,5*
,Responding to Rabbits,20,13m,,3*
56,JAFKPR,14,13m,,4
,Stonehinge,10,12m,SH,3
57,Baby Steps,5,7m,,3
,Mantlit,13,10m,,4*
,Play School,11,10m,COD,3
,Offal,6,14m,,5
58,Moonlight Dilemma,16,15m,MD,5
,Spooge in a Glove,14,15m,,4
,Hanging Garden,12,15m,,3
,Dodgy Dub,18,15m,,3
60,Humungosaur,16,14m,,3
,Spidermonkey,8,14m,,8
61,White Dopes on Punk,21,13m,,3
62,Piles,22,17m,P,6
,Short Wall,16,10m,SQ,2
